Vertex 497.889 354.371
-1751.86 2000 -1707.53 1964.06
-1707.53 1964.06 -1597.08 1874.51
-1597.08 1874.51 -1489.72 1787.47
-1489.72 1787.47 -1385.45 1702.94
-1385.45 1702.94 -1284.28 1620.91
-1284.28 1620.91 -1186.2 1541.39
-1186.2 1541.39 -1091.2 1464.37
-1091.2 1464.37 -999.29 1389.86
-999.29 1389.86 -910.462 1317.84
-910.462 1317.84 -824.713 1248.32
-824.713 1248.32 -742.04 1181.29
-742.04 1181.29 -662.439 1116.76
-662.439 1116.76 -585.903 1054.71
-585.903 1054.71 -512.427 995.137
-512.427 995.137 -442.004 938.043
-442.004 938.043 -374.626 883.416
-374.626 883.416 -310.281 831.25
-310.281 831.25 -248.959 781.534
-248.959 781.534 -190.643 734.257
-190.643 734.257 -135.318 689.403
-135.318 689.403 -82.9598 646.956
-82.9598 646.956 -33.5435 606.894
-33.5435 606.894 12.9635 569.192
12.9635 569.192 56.6007 533.816
56.6007 533.816 97.4171 500.728
97.4171 500.728 135.473 469.879
135.473 469.879 170.843 441.208
170.843 441.208 203.62 414.641
203.62 414.641 233.916 390.086
233.916 390.086 261.872 367.43
261.872 367.43 287.657 346.537
287.657 346.537 311.475 327.24
311.475 327.24 333.568 309.344
333.568 309.344 354.219 292.622
354.219 292.622 373.746 276.813
373.746 276.813 392.505 261.633
392.505 261.633 410.874 246.775
410.874 246.775 392.505 261.633
392.505 261.633 410.874 246.775
410.874 246.775 429.246 231.92
429.246 231.92 431.955 229.731
597.917 317.227 584.759 310.327
584.759 310.327 567.173 301.097
567.173 301.097 550.731 292.457
550.731 292.457 534.883 284.118
534.883 284.118 550.731 292.457
550.731 292.457 534.883 284.118
534.883 284.118 519.039 275.769
519.039 275.769 502.612 267.101
502.612 267.101 485.051 257.823
485.051 257.823 465.862 247.676
465.862 247.676 444.631 236.441
444.631 236.441 431.955 229.731
-177.09 2000 -168.297 1980.93
-168.297 1980.93 -120.523 1877.29
-120.523 1877.29 -74.4181 1777.28
-74.4181 1777.28 -29.9826 1680.89
-29.9826 1680.89 12.785 1588.12
12.785 1588.12 53.8856 1498.96
53.8856 1498.96 93.3203 1413.42
93.3203 1413.42 131.091 1331.49
131.091 1331.49 167.199 1253.16
167.199 1253.16 201.646 1178.43
201.646 1178.43 234.436 1107.3
234.436 1107.3 265.571 1039.76
265.571 1039.76 295.056 975.799
295.056 975.799 322.895 915.405
322.895 915.405 349.095 858.566
349.095 858.566 373.665 805.264
373.665 805.264 396.614 755.475
396.614 755.475 417.956 709.171
417.956 709.171 437.71 666.311
437.71 666.311 455.897 626.847
455.897 626.847 472.549 590.709
472.549 590.709 487.707 557.809
487.707 557.809 501.424 528.027
501.424 528.027 513.774 501.207
513.774 501.207 524.851 477.137
524.851 477.137 534.78 455.547
534.78 455.547 543.72 436.088
543.72 436.088 551.867 418.33
551.867 418.33 559.455 401.76
559.455 401.76 566.748 385.8
566.748 385.8 559.455 401.76
559.455 401.76 566.748 385.8
566.748 385.8 574.027 369.833
574.027 369.833 581.574 353.245
581.574 353.245 589.652 335.455
589.652 335.455 597.917 317.227
Vertex 323.645 138.915
-775.224 -2000 -769.001 -1988.82
-769.001 -1988.82 -703.81 -1871.65
-703.81 -1871.65 -640.56 -1757.98
-640.56 -1757.98 -579.251 -1647.79
-579.251 -1647.79 -519.882 -1541.1
-519.882 -1541.1 -462.453 -1437.88
-462.453 -1437.88 -406.963 -1338.16
-406.963 -1338.16 -353.412 -1241.91
-353.412 -1241.91 -301.798 -1149.15
-301.798 -1149.15 -252.121 -1059.87
-252.121 -1059.87 -204.379 -974.069
-204.379 -974.069 -158.57 -891.742
-158.57 -891.742 -114.693 -812.886
-114.693 -812.886 -72.7454 -737.498
-72.7454 -737.498 -32.7245 -665.573
-32.7245 -665.573 5.37304 -597.104
5.37304 -597.104 41.5514 -532.085
41.5514 -532.085 75.8156 -470.507
75.8156 -470.507 108.172 -412.357
108.172 -412.357 138.629 -357.621
138.629 -357.621 167.197 -306.282
167.197 -306.282 193.888 -258.315
193.888 -258.315 218.72 -213.691
218.72 -213.691 241.714 -172.369
241.714 -172.369 262.9 -134.3
262.9 -134.3 282.315 -99.414
282.315 -99.414 300.009 -67.6231
300.009 -67.6231 316.048 -38.8089
316.048 -38.8089 330.519 -12.8155
330.519 -12.8155 343.536 10.5609
343.536 10.5609 355.247 31.5844
355.247 31.5844 365.837 50.5887
365.837 50.5887 375.537 67.9842
375.537 67.9842 384.617 84.2547
384.617 84.2547 393.381 99.944
393.381 99.944 384.617 84.2547
384.617 84.2547 393.381 99.944
393.381 99.944 402.151 115.63
402.151 115.63 411.25 131.889
411.25 131.889 420.982 149.267
420.982 149.267 431.618 168.246
431.618 168.246 443.386 189.237
443.386 189.237 443.927 190.201
443.927 190.201 -nan -nan
443.927 190.201 441.392 198.562
441.392 198.562 434.615 220.937
434.615 220.937 431.955 229.731
-1751.86 2000 -1707.53 1964.06
-1707.53 1964.06 -1597.08 1874.51
-1597.08 1874.51 -1489.72 1787.47
-1489.72 1787.47 -1385.45 1702.94
