"","","","w"
"x",416.766624438226,1147.91600559946,22.9541745659585
"x",352.812630718678,1122.10579100168,-46.0116176085904
"x",64.6968539493784,1284.86767130199,-60.8944914477878
"x",523.36307810653,1048.49601678053,-22.8860700308929
"x",439.39476478288,1270.35567153317,-39.9819512996357
"x",654.41455351343,1303.88683524148,22.9652788195511
"x",625.435621215746,1218.59436071825,12.7477598187946
"x",101.57870234788,1036.46384496561,-43.4467932468504
"x",208.607423440708,1327.57270335485,-67.2464532708168
"x",613.337040845536,1398.29856244475,-14.453113587375
"x",542.999612604213,1178.06851213641,23.7085042637572
"x",63.7539988886629,1425.103674699,-51.0350366528858
"x",451.800796024694,1357.26335396595,-40.2843520300746
"x",507.072235382366,1449.75055106451,-31.9699659601341
"x",163.72616754792,1221.31327354604,-39.1768122401739
"x",580.305488304802,1455.34680892527,-41.4768000384143
"x",192.984070174995,1474.41067244816,-23.0513653943323
"x",320.92389218554,1563.94319192951,-54.0445811205821
"x",278.667974282247,1218.90995825617,-42.6117231180921
"x",469.330532036215,986.719523025694,-49.69977162644
"x",302.386353704328,1047.41517052091,22.3512406405326
"x",352.003147253203,1291.54436075898,-49.9416571998104
"x",54.6580688791069,1144.59978014197,-58.7136983548946
"x",198.624364784569,1126.08453459259,-62.2450635708809
"x",335.714130809247,1409.0796711337,-10.9286903726223
"x",527.609035083334,1317.84491867212,-27.6668900009143
"x",423.756729594395,1518.60151296633,-33.5061469939288
