protein,condition,light,co2_concentration,mean_intensity,mean_mass_fraction_norm,sd_intensity,Process,Pathway,Protein,Process.abbr,Pathway.abbr
sll0002,CO2-0-15,300,0.15,2115033.73177043,0.0002644412,325217.617514617,Other categories,Drug and analog sensitivity,penicillin-binding protein,Other,Drug and analog se
sll0002,CO2-0-2,300,0.2,2062073.9247452,0.0002595322,71289.6722623796,Other categories,Drug and analog sensitivity,penicillin-binding protein,Other,Drug and analog se
sll0002,CO2-0-3,300,0.3,1934441.71525873,0.0002519717,115971.811414337,Other categories,Drug and analog sensitivity,penicillin-binding protein,Other,Drug and analog se
sll0002,CO2-0-5,300,0.5,2002029.68475898,0.0002454652,257969.130345825,Other categories,Drug and analog sensitivity,penicillin-binding protein,Other,Drug and analog se
sll0002,CO2-1-0,300,1,3214072.5085664,0.0002817801,876812.656073045,Other categories,Drug and analog sensitivity,penicillin-binding protein,Other,Drug and analog se
sll0002,Light-0060,60,1,4477215.78277399,0.0001453605,2403031.2502435,Other categories,Drug and analog sensitivity,penicillin-binding protein,Other,Drug and analog se
sll0002,Light-0100,100,1,4935125.39606579,0.0001750751,242118.22511222,Other categories,Drug and analog sensitivity,penicillin-binding protein,Other,Drug and analog se
sll0002,Light-0200,200,1,7551961.50419697,0.0003484486,4878877.21797492,Other categories,Drug and analog sensitivity,penicillin-binding protein,Other,Drug and analog se
sll0002,Light-0300,300,1,7129106.27619552,0.0002686447,4428015.86110104,Other categories,Drug and analog sensitivity,penicillin-binding protein,Other,Drug and analog se
sll0002,Light-1000,1000,1,8307145.27415682,0.0003587755,4457978.19066153,Other categories,Drug and analog sensitivity,penicillin-binding protein,Other,Drug and analog se
sll0005,CO2-0-15,300,0.15,3737623.75375712,0.0003221882,997796.992593412,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0005,CO2-0-2,300,0.2,4038086.92322594,0.0003318711,919588.178915257,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0005,CO2-0-3,300,0.3,5340581.57548486,0.0003880946,213842.255162899,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0005,CO2-0-5,300,0.5,2742302.27713456,0.0002560665,2003370.74675917,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0005,CO2-1-0,300,1,768191.452366604,0.0001720237,185919.372862374,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0005,Light-0060,60,1,6493452.14948375,0.0003041538,1758257.32148222,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
