"","protein","condition","growthrate","mean_intensity","median_intensity","CV","CI","mean_massfraction","rel_intensity","psortB_localization","Process","Pathway","Protein","Protein.names","Length","MolWeight","Process.color","Process.abbr","Pathway.abbr","mean_mass_fraction_norm","model.category"
"21","sll0006","CO2-0-15",0.0183,5064338.83142629,4995846.014458,0.089387135,0.0875977826,0.0002417834,0.5633142199,"Cytoplasmic","Amino acid biosynthesis","Aspartate family","putative aminotransferase",NA,394,43.99,1,"AminoAcids","Aspartate family",0.0001623176,"CBM"
"22","sll0006","CO2-0-2",0.0279,5461285.90371613,5454916.44775457,0.0451226187,0.0442193538,0.0002544296,0.6150774052,"Cytoplasmic","Amino acid biosynthesis","Aspartate family","putative aminotransferase",NA,394,43.99,1,"AminoAcids","Aspartate family",0.0001749637,"CBM"
"23","sll0006","CO2-0-3",0.0452,5641505.36248942,5594626.15788855,0.0527394456,0.051683707,0.0002581176,0.6308305862,"Cytoplasmic","Amino acid biosynthesis","Aspartate family","putative aminotransferase",NA,394,43.99,1,"AminoAcids","Aspartate family",0.0001786518,"CBM"
"24","sll0006","CO2-0-5",0.0756,6011392.13615703,6076934.56208806,0.1099092953,0.1077091302,0.000246219,0.6852140043,"Cytoplasmic","Amino acid biosynthesis","Aspartate family","putative aminotransferase",NA,394,43.99,1,"AminoAcids","Aspartate family",0.0001667531,"CBM"
"25","sll0006","CO2-1-0",0.1003,8789203.94738229,8868666.6124091,0.0381785854,0.0374143262,0.0003235457,1,"Cytoplasmic","Amino acid biosynthesis","Aspartate family","putative aminotransferase",NA,394,43.99,1,"AminoAcids","Aspartate family",0.0002440799,"CBM"
"26","sll0006","Light-0060",0.0331,5499031.82546175,4875055.58866918,0.3617349895,0.3544937757,0.0003793069,1.1514677923,"Cytoplasmic","Amino acid biosynthesis","Aspartate family","putative aminotransferase",NA,394,43.99,1,"AminoAcids","Aspartate family",0.0004587727,"CBM"
"27","sll0006","Light-0100",0.0485,4077328.07530515,3695380.80023761,0.4980232268,0.488053794,0.0002796965,0.8728335286,"Cytoplasmic","Amino acid biosynthesis","Aspartate family","putative aminotransferase",NA,394,43.99,1,"AminoAcids","Aspartate family",0.0003591624,"CBM"
"28","sll0006","Light-0200",0.0639,3903983.42311814,4008337.42138311,0.1908744804,0.1870535536,0.0002646333,0.9467525769,"Cytoplasmic","Amino acid biosynthesis","Aspartate family","putative aminotransferase",NA,394,43.99,1,"AminoAcids","Aspartate family",0.0003440992,"CBM"
"29","sll0006","Light-0300",0.0934,2863495.6294152,2807853.79368456,0.1676947312,0.1643378168,0.0001735621,0.6632033522,"Cytoplasmic","Amino acid biosynthesis","Aspartate family","putative aminotransferase",NA,394,43.99,1,"AminoAcids","Aspartate family",0.000253028,"CBM"
"30","sll0006","Light-1000",0.0961,4713354.07806676,4233775.03170974,0.391873026,0.3840285087,0.0002963114,1,"Cytoplasmic","Amino acid biosynthesis","Aspartate family","putative aminotransferase",NA,394,43.99,1,"AminoAcids","Aspartate family",0.0003757773,"CBM"
